Ref number	reference	citations	survey	pipeline	type	comment
1	2001. Dutch Central Bureau for Statistics Volkstelling. Retrieved from http://easy.dans.knaw.nl/dms	8	hort			
2	2016. Medical Expenditure Panel Survey dataset. Retrieved from https://meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-192	35	hort			
3	2017. The Heritage Health Prize dataset. Retrieved from https://www.kaggle.com/c/hhp	6	hort			
4	"2017. Stop, Question and Frisk dataset. Retrieved from http://www1.nyc.gov/site/nypd/stats/reports-analysis/stopfrisk.page"	x	hort			
5	2018. Home Credit Default Risk. Retrieved from https://www.kaggle.com/c/home-credit-default-risk	7	hort			
6	2019. National longitudinal surveys of youth data set. Retrieved from: www.bls.gov/nls/	x	hort			
7	"Annie Abay, Yi Zhou, Nathalie Baracaldo, Shashank Rajamoni, Ebube Chuba, and Heiko Ludwig. 2020. Mitigating bias in federated learning. arXiv preprint arXiv:2012.02447 (2020)."	97	hort	in-processing	regularisation	reweighing
8	"Adel Abusitta, Esma Aïmeur, and Omar Abdel Wahab. 2019. Generative adversarial networks for mitigating biases in machine learning systems. arXiv preprint arXiv:1905.09972 (2019)."	29	hort	pre-processing	sampling	generative
9	"Tameem Adel, Isabel Valera, Zoubin Ghahramani, and Adrian Weller. 2019. One-network adversarial fairness. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 33. 2412–2420."	144	hort	in-processing	adversarial	nn
10	"Philip Adler, Casey Falk, Sorelle A. Friedler, Tionney Nix, Gabriel Rybeck, Carlos Scheidegger, Brandon Smith, and Suresh Venkatasubramanian. 2018. Auditing black-box models for indirect influence. Knowl. Inf. Syst. 54, 1 (2018), 95–122."	373	hort	post-processing	input	
11	"Alekh Agarwal, Alina Beygelzimer, Miroslav Dudík, John Langford, and Hanna Wallach. 2018. A reductions approach to fair classification. In Proceedings of the International Conference on Machine Learning. PMLR, 60–69."	1265	hort	in-processing	adversarial	
